*name; short_name;description;latitude;longitude;elevation;type;type_name;country;icao;frequency;rwy_landable;rwy_lenght;rwy_direc;rwy_surface;rwy_surface_name;rwy_bidirectional
Hetzleser Berg;Hetzls;;49.38'500"N;011.09'780"E;533;768;Sonderlandeplatz;1060;EDQX;123.600;1;558;260;1;Asphalt;1
Heubach;Heubch;;48.48'100"N;009.55'720"E;434;768;Sonderlandeplatz;1060;EDTH;123.025;1;750;250;1;Asphalt;1
Hienheim;Hienhm;;48.52'667"N;011.45'750"E;400;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Hilden-Kesselweier;HildnK;;51.11'233"N;006.58'483"E;90;1792;Segelfluggel‰nde;1060;;123.375;1;0;0;5;Belag unbekannt;1
Hildesheim;Hildsh;;52.10'850"N;009.56'830"E;89;768;Sonderlandeplatz;1060;EDVM;118.300;1;940;250;1;Asphalt;1
Hilzingen;Hilzng;;47.45'617"N;008.46'050"E;453;1792;Segelfluggel‰nde;1060;;123.375;1;0;0;5;Belag unbekannt;1
Hirzenhain;Hirznh;;50.47'370"N;008.23'620"E;520;768;Sonderlandeplatz;1060;EDFI;118.325;1;650;290;3;Gras;1
Hockenheim;Hocknh;;49.19'580"N;008.31'770"E;96;768;Sonderlandeplatz;1060;EDFX;123.650;1;820;320;3;Gras;1
Hodenhagen;Hodnhg;;52.45'830"N;009.36'570"E;24;768;Sonderlandeplatz;1060;EDVH;119.000;1;650;210;3;Gras;1
Hoelleberg;Hoellb;;51.36'750"N;009.23'920"E;255;768;Sonderlandeplatz;1060;EDVL;122.000;1;520;260;3;Gras;1
Hoepen;Hoepen;;53.08'850"N;009.47'767"E;73;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Hoerbach;Hoerbc;;50.40'233"N;008.13'367"E;330;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Hoexter-Holzminden;Hoextr;;51.48'480"N;009.22'770"E;285;768;Sonderlandeplatz;1060;EDVI;123.625;1;744;320;1;Asphalt;1
Hof-Plauen;HofPln;;50.17'400"N;011.51'380"E;597;1024;Flughafen;1060;EDQM;124.350;1;1480;270;1;Asphalt;1
Hohenfels;Hohnfl;;49.13'000"N;011.50'200"E;445;512;milit‰rischer Flugplatz;1060;ETIH;122.100;1;667;270;5;Belag unbekannt;1
Hoherodskopf;Hohrds;;50.29'933"N;009.12'933"E;670;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Hohn;Hoh1;;54.19'167"N;009.32'500"E;24;512;milit‰rischer Flugplatz;1060;ETNH;122.100;1;2440;80;0;Beton;1
Holtorfsloh;Holtrf;;53.19'333"N;010.04'450"E;50;1792;Segelfluggel‰nde;1060;;123.350;1;0;130;3;Gras;1
Holzdorf;Holzdr;;51.46'083"N;013.10'083"E;82;512;milit‰rischer Flugplatz;1060;ETSH;122.100;1;2420;280;0;Beton;1
Homberg/Ohm;Hombrg;;50.44'833"N;009.01'183"E;350;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Hoppstaedten-Weiersbach;Hoppst;;49.36'770"N;007.11'150"E;333;768;Sonderlandeplatz;1060;EDRH;120.600;1;500;58;1;Asphalt;1
